Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,28.68,28.68,27.12,27.69,14978100,27.69
2015-04-07,28.28,29.29,27.53,28.49,18310400,28.49
2015-04-06,28.31,28.31,28.31,28.31,000,28.31
2015-04-03,26.80,29.30,26.35,28.31,14915600,28.31
2015-04-02,25.50,27.41,25.10,27.32,18324200,27.32
2015-04-01,24.50,25.49,24.50,25.18,14583600,25.18
2015-03-31,23.98,24.70,23.40,23.82,14206200,23.82
2015-03-30,24.87,26.00,24.00,24.09,26598200,24.09
2015-03-27,24.30,24.99,24.01,24.55,7514900,24.55
2015-03-26,24.50,25.19,23.58,24.30,11865800,24.30
2015-03-25,22.68,25.17,22.42,25.13,16899100,25.13
2015-03-24,23.03,23.48,22.00,22.88,12032400,22.88
2015-03-23,22.48,23.25,22.16,22.97,10473000,22.97
2015-03-20,21.38,22.34,21.38,22.24,9220700,22.24
2015-03-19,21.42,21.57,21.15,21.34,7278600,21.34
2015-03-18,21.46,21.66,21.05,21.57,7351400,21.57
2015-03-17,20.64,21.44,20.50,21.26,8667800,21.26
2015-03-16,20.25,20.86,20.20,20.62,4095300,20.62
2015-03-13,19.82,20.31,19.80,20.11,3295400,20.11
2015-03-12,20.40,20.40,19.65,19.69,5042600,19.69
2015-03-11,20.80,20.90,20.27,20.36,2840600,20.36
2015-03-10,20.78,21.00,20.70,20.79,3000500,20.79
2015-03-09,20.30,21.00,20.10,20.85,4381400,20.85
2015-03-06,20.41,20.60,19.98,20.59,4342600,20.59
2015-03-05,20.78,20.89,20.30,20.47,3588700,20.47
2015-03-04,20.63,21.39,20.61,20.84,4995600,20.84
2015-03-03,21.25,21.25,20.80,20.83,5080000,20.83
2015-03-02,20.67,21.51,20.18,21.35,11353200,21.35
2015-02-27,19.10,20.72,19.10,20.59,13932700,20.59
2015-02-26,18.96,19.05,18.80,19.04,1795400,19.04
2015-02-25,19.00,19.00,18.80,18.98,1238300,18.98
2015-02-24,18.98,18.98,18.98,18.98,000,18.98
2015-02-23,18.98,18.98,18.98,18.98,000,18.98
2015-02-20,18.98,18.98,18.98,18.98,000,18.98
2015-02-19,18.98,18.98,18.98,18.98,000,18.98
2015-02-18,18.98,18.98,18.98,18.98,000,18.98
2015-02-17,18.90,19.03,18.88,18.98,1551400,18.98
2015-02-16,18.77,19.06,18.77,18.94,1793700,18.94
2015-02-13,18.44,19.07,18.44,18.75,2745200,18.75
2015-02-12,18.53,18.53,18.26,18.42,1201300,18.42
2015-02-11,18.13,18.55,18.03,18.54,2045500,18.54
2015-02-10,17.90,18.14,17.89,18.13,1390600,18.13
2015-02-09,18.00,18.11,17.88,17.91,1347200,17.91
2015-02-06,18.76,18.76,17.87,18.00,3548500,18.00
2015-02-05,19.01,19.10,18.77,18.78,2173200,18.78
2015-02-04,19.23,19.31,18.86,18.87,1932300,18.87
2015-02-03,18.89,19.21,18.89,19.20,1518600,19.20
2015-02-02,19.07,19.20,18.78,18.84,1994800,18.84
2015-01-30,19.84,19.93,19.21,19.22,2493200,19.22
2015-01-29,19.66,19.98,19.00,19.83,4387200,19.83
2015-01-28,20.07,20.12,19.81,19.85,2896300,19.85
2015-01-27,20.29,20.35,19.93,20.24,3782100,20.24
2015-01-26,20.09,20.30,20.01,20.17,2722700,20.17
2015-01-23,20.66,20.66,20.01,20.11,4991500,20.11
2015-01-22,20.61,20.75,20.31,20.66,6007000,20.66
2015-01-21,20.64,20.80,20.40,20.57,7079400,20.57
2015-01-20,19.60,20.44,19.60,20.35,6252900,20.35
2015-01-19,19.75,20.52,19.05,19.46,8236800,19.46
2015-01-16,20.00,20.25,19.71,20.09,5930800,20.09
2015-01-15,20.00,20.18,19.71,19.93,5575300,19.93
2015-01-14,19.58,20.30,19.27,20.21,8959900,20.21
2015-01-13,18.99,19.53,18.85,19.47,4083100,19.47
2015-01-12,18.97,19.09,18.70,18.99,2722800,18.99
2015-01-09,19.03,19.43,18.95,18.97,2969100,18.97
2015-01-08,19.51,19.57,19.01,19.03,3780900,19.03
2015-01-07,19.68,19.69,19.39,19.54,3312300,19.54
2015-01-06,19.39,19.74,19.20,19.68,4203300,19.68
2015-01-05,19.26,19.77,19.12,19.58,4928000,19.58
2015-01-02,19.50,19.50,19.50,19.50,000,19.50
2015-01-01,19.50,19.50,19.50,19.50,000,19.50
2014-12-31,19.21,19.55,19.00,19.50,4053200,19.50
2014-12-30,19.48,19.68,19.16,19.24,4201700,19.24
2014-12-29,19.82,19.86,19.06,19.50,5194300,19.50
2014-12-26,20.32,20.32,19.76,19.98,8246300,19.98
2014-12-25,20.50,21.16,20.14,20.40,11418600,20.40
2014-12-24,19.45,21.19,19.25,20.76,11647000,20.76
2014-12-23,18.95,19.68,18.95,19.27,5164300,19.27
2014-12-22,19.87,19.87,18.80,18.91,5532000,18.91
2014-12-19,20.60,20.66,19.80,20.03,6109900,20.03
2014-12-18,20.61,21.02,20.59,20.60,3739900,20.60
2014-12-17,21.30,21.30,20.36,20.61,9259300,20.61
2014-12-16,21.30,21.60,21.27,21.39,6920300,21.39
2014-12-15,20.79,21.81,20.62,21.69,10116200,21.69
2014-12-12,21.40,21.40,20.91,21.00,9613600,21.00
2014-12-11,20.59,21.60,20.31,21.57,13228200,21.57
2014-12-10,19.77,20.70,19.60,20.49,11391300,20.49
